Study Title,"Author, year",Diagnosis,Outcome,Control,Study Duration (Weeks),Frequency (per day),Minutes,Min Per Day,Total Practice Time,Number Lab Visits,Average Age Exp,Average Age Cont,Average Age Tot,Female Participants,Male Participants,Percent Female
"A Pilot Study of a Three‐Session Heart Rate Variability Biofeedback
Intervention for Veterans with Posttraumatic Stress Disorder","Schuman et al, 2022",PTSD,PTSD,TAU/WL,4,1,5,5,140,5,52.78,48.29,50.535,5,30,0.1428571429
"A Pilot Study of a Three‐Session Heart Rate Variability Biofeedback
Intervention for Veterans with Posttraumatic Stress Disorder","Schuman et al, 2022",PTSD,Depression,TAU/WL,4,1,5,5,140,5,52.78,48.29,50.535,5,30,0.1428571429
A Pilot Study of Brief Heart Rate Variability Biofeedback to Reduce Craving in Young Adult Men Receiving Inpatient Treatment for Substance Use Disorders,"Eddie et al, 2014",SUD,Substance Abuse,TAU/WL,3,2,20,40,840,3,21.7,22,21.85,0,41,0
A wearable system for cardiopulmonary assessment and personalized respiratory training,"Cui et al, 2020",Pregnant,Sleep,TAU/WL,12,1,30,30,2520,2,28.3,29.1,28.7,20,0,1
Assessing heart rate variability biofeedback as an adjunct to college recovery housing programs,"Eddie et al, 2018",SUD,Depression,TAU/WL,12,2,15,30,2520,5,23.6,23.6,23.6,10,26,0.2777777778
Assessing heart rate variability biofeedback as an adjunct to college recovery housing programs,"Eddie et al, 2018",SUD,Substance Abuse,TAU/WL,12,2,15,30,2520,5,23.6,23.6,23.6,10,26,0.2777777778
Assessing heart rate variability biofeedback as an adjunct to college recovery housing programs,"Eddie et al, 2018",SUD,Stress,TAU/WL,12,2,15,30,2520,5,23.6,23.6,23.6,10,26,0.2777777778
Assessing heart rate variability biofeedback as an adjunct to college recovery housing programs,"Eddie et al, 2018",SUD,Anxiety,TAU/WL,12,2,15,30,2520,5,23.6,23.6,23.6,10,26,0.2777777778
Asynchronous Heart Rate Variability Biofeedback Protocol Effects on Adolescent Athletes’ Cognitive Appraisals and Recovery-Stress States,"Vacher et al, 2023",Athlete,Stress,TAU/WL,6,2,10,20,840,6,15.2,15.7,15.45,11,16,0.4074074074
“Brain-IT”: Exergame training with biofeedback breathing in neurocognitive disorders,"Manser & de Bruin, 2024 ",mNCD,Depression,TAU/WL,12,0.714,24,17.136,1439.424,2,74,71.8,72.9,11,26,0.2972972973
“Brain-IT”: Exergame training with biofeedback breathing in neurocognitive disorders,"Manser & de Bruin, 2024 ",Neurological,Anxiety,TAU/WL,12,0.714,24,17.136,1439.424,2,74,71.8,72.9,11,26,0.2972972973
“Brain-IT”: Exergame training with biofeedback breathing in neurocognitive disorders,"Manser & de Bruin, 2024 ",Neurological,Stress,TAU/WL,12,0.714,24,17.136,1439.424,2,74,71.8,72.9,11,26,0.2972972973
Comparing Efectiveness of HRV-Biofeedback and Mindfulness for Workplace Stress Reduction: A Randomized Controlled Trial,"Brinkmann et al, 2020",Healthy,Depression,TAU/WL,6,1,30,30,1260,1,42.06,45.2,43.63,26,11,0.7027027027
