,Author,Diagnosis,Outcome,Control,n1i,n2i,M1_Exp,SD1_Exp,M2_Exp,SD2_Exp,M1_Cont1,SD1_Cont1,M2_Cont1,SD2_Cont1,m1i,m2i,sd1i,sd2i
"A Pilot Study of a Three‐Session Heart Rate Variability Biofeedback
Intervention for Veterans with Posttraumatic Stress Disorder","Schuman et al, 2022",PTSD,PTSD,TAU/WL,31,30,57.5,11.17,50.73,16.73,53.31,11.28,48.6,10.8,-6.77,-4.71,11.95985201,8.562990132
"A Pilot Study of a Three‐Session Heart Rate Variability Biofeedback
Intervention for Veterans with Posttraumatic Stress Disorder","Schuman et al, 2022",PTSD,Depression,TAU/WL,31,30,34.98,11.17,25.69,11.42,28.56,14.69,26.13,11.81,-9.29,-2.43,8.75210489,10.60130841
A Pilot Study of Brief Heart Rate Variability Biofeedback to Reduce Craving in Young Adult Men Receiving Inpatient Treatment for Substance Use Disorders,"Eddie et al, 2014",SUD,Substance Abuse,TAU/WL,18,17,15,7.45,9.62,6.78,13.7,12.41,9.95,5.95,-5.38,-3.75,5.545764149,9.275521549
A wearable system for cardiopulmonary assessment and personalized respiratory training,"Cui et al, 2020",Pregnant,Sleep,TAU/WL,10,10,5,3.4,4.4,2.27,3.9,2.13,5.9,2.89,-0.6,2,2.430576063,2.066644624
Assessing heart rate variability biofeedback as an adjunct to college recovery housing programs,"Eddie et al, 2018",SUD,Depression,TAU/WL,38,38,7.1,5.731,6.5,6.644,9.47,6.027,8,6.644,-0.6,-1.47,4.86617174,4.940315962
Assessing heart rate variability biofeedback as an adjunct to college recovery housing programs,"Eddie et al, 2018",SUD,Substance Abuse,TAU/WL,38,38,4.46,4.4925,3.47,3.035,4.97,4.089,4.39,3.035,-0.99,-0.58,3.210163353,2.925232469
Assessing heart rate variability biofeedback as an adjunct to college recovery housing programs,"Eddie et al, 2018",SUD,Stress,TAU/WL,38,38,13.93,5.845,13.06,5.416,13.53,6.495,12.56,5.416,-0.87,-0.97,4.379263979,4.719151725
Assessing heart rate variability biofeedback as an adjunct to college recovery housing programs,"Eddie et al, 2018",SUD,Anxiety,TAU/WL,38,38,9.44,7.366,8.82,7.876,12.77,9.472,7.93,7.293,-0.62,-4.84,5.921897466,6.796735878
Asynchronous Heart Rate Variability Biofeedback Protocol Effects on Adolescent Athletes’ Cognitive Appraisals and Recovery-Stress Anxietys,"Vacher et al, 2023",Athlete,Stress,TAU/WL,14,13,2.29,1.47,1.56,0.7,2.38,1.22,1.7,0.66,-0.73,-0.68,1.100136355,0.892591732
“Brain-IT”: Exergame training with biofeedback breathing in neurocognitive disorders,"Manser & de Bruin, 2024 ",mNCD,Depression,TAU/WL,20,17,2,5,1.5,4,2,4,1,4,-0.5,-1,3.605551275,3.098386677
“Brain-IT”: Exergame training with biofeedback breathing in neurocognitive disorders,"Manser & de Bruin, 2024 ",mNCD,Anxiety,TAU/WL,20,17,2.5,3.3,1.5,3.3,1,2,1,2,-1,0,2.556169008,1.549193338
“Brain-IT”: Exergame training with biofeedback breathing in neurocognitive disorders,"Manser & de Bruin, 2024 ",mNCD,Stress,TAU/WL,20,17,3,5,4,3.5,4,6,4,4,1,0,3.570714214,4.289522118
Comparing Efectiveness of HRV-Biofeedback and Mindfulness for Workplace Stress Reduction: A Randomized Controlled Trial,"Brinkmann et al, 2020",Healthy,Depression,TAU/WL,18,19,8.67,6.66,5.33,8.33,7.33,4.46,7.95,5.08,-3.34,0.62,6.006295031,3.73878055
Depressive rumination and heart rate variability: A pilot study on the effect of biofeedback on rumination and its physiological concomitants,"Schumann et al, 2022",Depression,Depression,TAU/WL,16,14,21.6,10.7,14.2,10.5,20.2,7.9,18.8,8.7,-7.4,-1.4,8.212794896,6.471321349
Depressive rumination and heart rate variability: A pilot study on the effect of biofeedback on rumination and its physiological concomitants,"Schumann et al, 2022",Depression,Stress,TAU/WL,16,14,23.2,9.2,16.8,8.5,24.4,7.2,22.6,7.7,-6.4,-1.8,6.885491994,5.789127741
